city,lat,lon,temp_max,humidity,cloudiness,windspeed,country,date/time
hervey bay,-25.2986,152.8535,75.2,60,40,16.11,AU,1619935992
qaqortoq,60.7167,-46.0333,42.8,24,53,47.18,GL,1619935992
cidreira,-30.1811,-50.2056,64.72,83,0,8.81,BR,1619935993
carrizal,10.3499,-66.9863,73.4,78,40,4.61,VE,1619935993
xinzhi,36.4989,111.7047,64.31,25,100,12.57,CN,1619935993
dikson,73.5069,80.5464,27.82,86,98,4.9,RU,1619935994
cabo san lucas,22.8909,-109.9124,72,67,2,9.57,MX,1619935994
tamiahua,21.2667,-97.45,77.81,90,100,2.01,MX,1619935994
kavieng,-2.5744,150.7967,84.58,68,31,5.35,PG,1619935995
chokurdakh,70.6333,147.9167,24.94,86,6,5.12,RU,1619935995
portland,45.5234,-122.6762,54,66,75,6.91,US,1619935995
henties bay,-22.116,14.2845,64,66,65,1.01,NA,1619935996
chicama,-7.8447,-79.1469,68.38,79,9,4.5,PE,1619935996
port hawkesbury,45.6169,-61.3485,37.99,60,1,4.61,CA,1619935997
tinos,37.5375,25.1634,77,44,20,6.91,GR,1619935997
tura,25.5198,90.2201,92.79,33,10,6.24,IN,1619935997
rudnichnyy,59.617,52.4703,39.87,48,7,10.04,RU,1619935998
ilulissat,69.2167,-51.1,39.2,45,75,21.85,GL,1619935998
clyde river,70.4692,-68.5914,10.4,100,1,4.61,CA,1619935998
pacific grove,36.6177,-121.9166,54,88,21,12.03,US,1619935998
severo-kurilsk,50.6789,156.125,35.08,97,100,24.32,RU,1619935999
saint-francois,46.4154,3.9054,43,93,75,3.44,FR,1619935999
metu,8.3,35.5833,61.41,95,100,0.58,ET,1619935999
ahipara,-35.1667,173.1667,57.6,69,1,9.13,NZ,1619936000
banjar,-8.19,114.9675,86,74,20,17.27,ID,1619936000
melita,49.2681,-100.9967,54,48,68,5.99,CA,1619936001
shelburne,44.0787,-80.2041,51.8,62,1,5.75,CA,1619936001
lebu,-37.6167,-73.65,55.33,97,100,8.28,CL,1619936001
djibo,14.1022,-1.6306,83.01,23,4,7.27,BF,1619936002
junin,-34.5838,-60.9433,59,43,70,7.11,AR,1619936002
dzerzhinsk,56.2389,43.4631,50,40,20,6.71,RU,1619936002
bredasdorp,-34.5322,20.0403,42.8,93,4,4.61,ZA,1619936002
hirara,24.8,125.2833,80.6,69,75,12.66,JP,1619936003
pundaguitan,6.3711,126.1689,82.67,77,47,11.97,PH,1619936003
hambantota,6.1241,81.1185,89.6,74,40,3.44,LK,1619936004
zhicheng,30.2956,111.5047,73.13,62,100,10.33,CN,1619936004
zeya,53.75,127.2667,56.25,37,69,3.71,RU,1619936004
opuwo,-18.0607,13.84,67.32,63,41,5.68,NA,1619936005
maarianhamina,60.0973,19.9348,41,65,0,8.05,AX,1619936005
ribeira grande,38.5167,-28.7,62.6,100,75,12.66,PT,1619936005
astana,51.1801,71.446,60.8,18,0,11.18,KZ,1619936006
shetpe,44.1667,52.1167,73.33,16,81,8.59,KZ,1619936006
teknaf,20.8624,92.3058,88.74,58,0,10.31,BD,1619936007
wahiawa,21.5028,-158.0236,75,73,90,4.61,US,1619936007
mogadishu,2.0371,45.3438,86,66,40,8.05,SO,1619936007
bandundu,-3.3167,17.3667,72.18,92,100,3.02,CD,1619936007
calama,-22.4667,-68.9333,37.4,32,0,14.97,CL,1619936008
bagdarin,54.4333,113.6,49.75,33,99,8.21,RU,1619936009
prainha,-1.8,-53.48,71.58,98,100,1.01,BR,1619936009
fortuna,40.5982,-124.1573,52,93,90,9.22,US,1619936009
bubaque,11.2833,-15.8333,78.12,66,11,13.89,GW,1619936010
mananjary,-21.2167,48.3333,77.76,82,60,5.55,MG,1619936010
gobabis,-22.45,18.9667,56.5,37,0,10.04,NA,1619936010
taoudenni,22.6783,-3.9836,79.88,48,94,12.01,ML,1619936011
okhotsk,59.3833,143.3,37.94,71,20,5.12,RU,1619936011
coihaique,-45.5752,-72.0662,38.95,99,100,6.49,CL,1619936011
mareeba,-17,145.4333,81,65,38,5.01,AU,1619936012
barentu,15.1139,37.5928,80.71,40,90,15.88,ER,1619936012
lavrentiya,65.5833,-171,20.1,84,82,7.96,RU,1619936013
qaanaaq,77.484,-69.3632,25.86,55,67,8.5,GL,1619936013
sindor,62.8629,51.8905,34.3,50,57,13.58,RU,1619936013
nalut,30.3333,10.85,75.47,23,97,15.35,LY,1619936014
megion,61.0296,76.1136,46.4,42,0,13.42,RU,1619936014
treinta y tres,-33.2333,-54.3833,56.08,85,0,2.42,UY,1619936014
conceicao do araguaia,-8.2578,-49.2647,75.2,100,40,1.14,BR,1619936015
porto empedocle,37.2934,13.5264,64.99,73,76,5.95,IT,1619936015
esperance,-33.8667,121.9,69.8,37,75,6.91,AU,1619936015
beringovskiy,63.05,179.3167,20.14,90,99,10.22,RU,1619936016
smithers,54.7804,-127.1743,39.2,87,1,2.3,CA,1619936016
hami,42.8,93.45,69.57,13,97,12.24,CN,1619936017
pasni,25.2631,63.471,84.58,61,5,10.27,PK,1619936017
pachino,36.7186,15.0907,71.6,60,100,3.44,IT,1619936017
moron,-34.6534,-58.6198,66.99,82,28,5.08,AR,1619936017
kotelnich,58.3089,48.348,44.4,49,3,4.68,RU,1619936018
porto de moz,-1.7483,-52.2383,71.91,99,99,1.23,BR,1619936018
upernavik,72.7868,-56.1549,18.39,73,9,5.79,GL,1619936019
bhor,18.1667,73.85,93.65,29,53,4.56,IN,1619936019
arvika,59.6553,12.5852,41,75,9,0.83,SE,1619936019
salalah,17.0151,54.0924,87.8,70,40,8.05,OM,1619936020
jacareacanga,-6.2222,-57.7528,71.4,98,42,0.96,BR,1619936020
